"state","metro_res","white","hs_grad","poverty","female_house"
"Alabama",55.4,71.3,79.9,14.6,14.2
"Alaska",65.6,70.8,90.6,8.3,10.8
"Arizona",88.2,87.7,83.8,13.3,11.1
"Arkansas",52.5,81,80.9,18,12.1
"California",94.4,77.5,81.1,12.8,12.6
"Colorado",84.5,90.2,88.7,9.4,9.6
"Connecticut",87.7,85.4,87.5,7.8,12.1
"Delaware",80.1,76.3,88.7,8.1,13.1
"District  of Columbia",100,36.2,86,16.8,18.9
"Florida",89.3,80.6,84.7,12.1,12
"Georgia",71.6,67.5,85.1,12.1,14.5
"Hawaii",91.5,25.9,88.5,10.6,12.4
"Idaho",66.4,95.5,88.2,11.8,8.7
"Illinois",87.8,79.5,85.9,11.2,12.3
"Indiana",70.8,88.9,86.4,8.7,11.1
"Iowa",61.1,94.9,89.7,8.3,8.6
"Kansas",71.4,89.3,88.6,9.4,9.3
"Kentucky",55.8,90.3,82.8,13.1,11.8
"Louisiana",72.6,64.2,79.8,17,16.6
"Maine",40.2,97.1,86.6,11.3,9.5
"Maryland",86.1,65.6,87.6,7.3,14.1
"Massachusetts",91.4,87.2,87.1,9.6,11.9
"Michigan",74.7,81.5,87.6,10.3,12.5
"Minnesota",70.9,90.2,91.6,6.5,8.9
"Mississippi",48.8,61.2,81.2,17.6,17.3
"Missouri",69.4,85.3,88.3,9.6,11.6
"Montana",54.1,90.9,90.1,13.7,8.9
"Nebraska",69.8,92.1,90.8,9.5,9.1
"Nevada",91.5,84.1,85.6,8.3,11.1
"New  Hampshire",59.3,96.3,92.1,5.6,9.1
"New Jersey",94.4,77.3,86.2,7.8,12.6
"New Mexico",75,84.9,81.7,17.8,13.2
"New York",87.5,73.6,84.2,14,14.7
"North  Carolina",60.2,74.1,81.4,13.1,12.5
"North Dakota",55.9,92.5,89.7,11.9,7.8
"Ohio",77.4,85.4,87.2,10.1,12.1
"Oklahoma",65.3,78.4,85.7,14.7,11.4
"Oregon",78.7,90.8,86.9,11.2,9.8
"Pennsylvania",77.1,86.4,86,9.2,11.6
"Rhode Island",90.9,89.2,81,10.3,12.9
"South  Carolina",60.5,67.7,80.8,13.5,14.8
"South Dakota",51.9,88.8,88.7,10.2,9
"Tennessee",63.6,80.8,81,14.2,12.9
"Texas",82.5,83.6,77.2,15.3,12.7
"Utah",88.2,93.6,89.4,9.3,9.4
"Vermont",38.2,96.9,88.9,9.9,9.3
"Virginia",73,73.9,87.8,8.7,11.9
"Washington",82,85.5,89.1,10.8,9.9
"West  Virginia",46.1,95,78.7,16,10.7
"Wisconsin",68.3,90.1,88.6,8.6,9.6
"Wyoming",65.1,94.7,90.9,9.5,8.7
